,origin_barangay,origin_latitude,origin_longitude,BGY,Total_Population,College_Grads,Pct_College_Grads,High_School_Grads,Pct_Highschool_Grads,Avg_Wealth,Avg_Agri,Avg_OFW
0,Alipangpang,16.107,120.5633,001,6304,1894,30.04441624365482,2347,37.23032994923858,0.43591211928934015,0.04346446700507614,0.6494289340101523
1,Amagbagan,16.0945,120.534,002,2657,472,17.764395935265338,1073,40.383891607075654,0.41614728390415257,0.09785472337222431,0.9092961987203613
2,Balacag,16.1336,120.4913,003,980,69,7.040816326530612,439,44.795918367346935,0.3205136054421769,0.44081632653061226,0.5714285714285714
3,Banding,16.103,120.5606,004,1107,141,12.737127371273713,430,38.843721770551035,0.391674194519723,0.0,0.993676603432701
4,Bantugan,16.0896,120.5156,006,1367,147,10.75347476225311,612,44.76956839795172,0.35977566447208004,0.10241404535479151,0.9868324798829554
5,Batakil,16.1397,120.5224,007,2745,593,21.602914389799636,1099,40.03642987249545,0.4271803278688525,0.0790528233151184,0.916575591985428
6,Bobonan,16.137,120.5249,008,2981,726,24.354243542435423,1279,42.905065414290505,0.4523851056692385,0.04696410600469641,0.8970144246897015
7,Buneg,16.1172,120.564,009,2269,379,16.703393565447332,966,42.57382106654914,0.4495166740120464,0.1123843102688409,0.4746584398413398
8,Cablong,16.1164,120.5431,010,2394,698,29.156223893065995,821,34.29406850459482,0.4463673071567809,0.10568086883876357,0.9603174603174603
9,Casanfernandoan,16.1173,120.4912,035,1127,121,10.736468500443657,535,47.47116237799467,0.41500147885241057,0.19875776397515527,0.9902395740905058
10,Castaño,16.1024,120.5045,011,1260,165,13.095238095238097,530,42.06349206349206,0.3573465608465609,0.24603174603174602,0.9936507936507937
11,Dilan,16.0819,120.52,012,3842,599,15.590838105153566,1609,41.879229567933365,0.36301752559430855,0.05726184279021343,0.8355023425299323
12,Don Benito,16.1352,120.5024,013,1537,217,14.118412491867275,668,43.46128822381262,0.37846454131424856,0.14964216005204944,0.9876382563435263
13,Haway,16.0994,120.4912,014,683,49,7.174231332357247,303,44.36310395314788,0.4041776476329917,0.25329428989751096,0.9941434846266471
14,Imbalbalatong,16.1191,120.5535,015,2425,444,18.309278350515466,977,40.28865979381443,0.39171271477663233,0.07381443298969072,0.9579381443298969
15,Inoman,16.1421,120.5423,016,2774,353,12.725306416726747,1263,45.52992069214131,0.4109949531362654,0.15753424657534246,0.9214131218457101
16,Laoac,16.1366,120.517,017,1306,157,12.021439509954059,615,47.09035222052068,0.4410107197549771,0.11868300153139356,0.9892802450229708
17,Maambal,16.0842,120.4914,018,1429,196,13.71588523442967,634,44.3666899930021,0.41580592488919993,0.1245626312106368,0.9916025192442267
18,Malasin,16.0923,120.5258,019,2000,403,20.150000000000002,874,43.7,0.40344666666666673,0.0355,0.9765
19,Malokiat,16.1138,120.5024,020,1199,131,10.925771476230192,534,44.5371142618849,0.4271809841534613,0.2585487906588824,0.994161801501251
20,Manaol,16.1108,120.518,021,1556,215,13.817480719794345,715,45.951156812339335,0.33669665809768645,0.13881748071979436,0.9922879177377892
21,Nama,16.1301,120.546,022,3289,582,17.69534813013074,1518,46.15384615384615,0.43519002736394047,0.07753116448768622,0.8440255396777135
22,Nantangalan,16.0857,120.5009,023,1884,185,9.819532908704884,825,43.789808917197455,0.4372452229299363,0.08545647558386411,0.9750530785562632
23,Palacpalac,16.1261,120.5342,024,3148,754,23.951715374841168,1380,43.83735705209657,0.4270266836086404,0.03144853875476493,0.8341804320203303
24,Palguyod,16.1232,120.522,025,3302,678,20.533010296789826,1444,43.73107207752877,0.40608318190995357,0.043609933373712904,0.352816474863719
25,Poblacion I,16.111,120.5426,026,2185,495,22.65446224256293,852,38.99313501144165,0.4311731502669718,0.007322654462242563,0.9729977116704805
26,Poblacion II,16.1084,120.5422,027,1344,277,20.610119047619047,535,39.80654761904761,0.4059399801587302,0.09226190476190477,0.9880952380952381
27,Poblacion III,16.111,120.5459,028,1457,553,37.95470144131778,455,31.228551818805766,0.41886067261496224,0.035003431708991076,0.9910775566231984
28,Poblacion IV,16.1084,120.5458,029,1672,420,25.11961722488038,597,35.70574162679426,0.4360127591706539,0.01555023923444976,0.9892344497607656
29,Rosario,16.0968,120.5732,030,5574,1287,23.089343379978473,2286,41.01184068891281,0.4289163975601005,0.12217438105489774,0.6950125583064227
30,Sugcong,16.1483,120.5558,031,1849,332,17.95565170362358,794,42.9421308815576,0.385568775914909,0.10005408328826393,0.9740400216333153
31,Talogtog,16.0996,120.5381,032,2246,386,17.186108637577917,933,41.540516473731074,0.4260433363015732,0.04363312555654497,0.9621549421193233
32,Tulnac,16.1032,120.5214,033,939,77,8.20021299254526,381,40.57507987220447,0.44624423145189923,0.09371671991480299,0.9946751863684771
33,Villegas,16.1293,120.5599,034,1898,281,14.805057955742887,877,46.20653319283456,0.3955900948366702,0.06638566912539515,0.9805057955742887
